,0
1442,james e mooradian
1443,james e mooradian
1444,Aru B
1445,Aru B
1446,james e mooradian
1447,Aru B
1448,james e mooradian
1449,Aru B
1450,Aru B
1451,Aru B
1452,james e mooradian
1453,james e mooradian
1454,james e mooradian
1455,Aru B
1456,james e mooradian
1457,Aru B
1458,james e mooradian
1459,james e mooradian
1460,james e mooradian
1461,Aru B
1462,Aru B
1463,Aru B
1464,james e mooradian
1465,Aru B
1466,Aru B
1467,james e mooradian
1468,Aru B
1469,Aru B
1470,Aru B
1471,Aru B
1472,james e mooradian
1473,james e mooradian
1474,james e mooradian
1475,james e mooradian
1476,Aru B
1477,james e mooradian
1478,Aru B
1479,james e mooradian
1480,Aru B
1481,james e mooradian
1482,Aru B
1483,Aru B
1484,Aru B
1485,james e mooradian
1486,Aru B
1487,Aru B
1488,james e mooradian
1489,Aru B
1490,james e mooradian
1491,Aru B
1492,Aru B
1493,Aru B
1494,james e mooradian
1495,Aru B
1496,james e mooradian
1497,james e mooradian
1498,james e mooradian
1499,Aru B
1500,james e mooradian
1501,Aru B
1502,james e mooradian
1503,james e mooradian
1504,Aru B
1505,james e mooradian
1506,Aru B
1507,Aru B
1508,Aru B
1509,Aru B
1510,james e mooradian
1511,Aru B
1512,Aru B
1513,james e mooradian
1514,Aru B
1515,james e mooradian
1516,Aru B
1517,Aru B
1518,Aru B
1519,james e mooradian
1520,james e mooradian
1521,Aru B
1522,james e mooradian
1523,james e mooradian
1524,james e mooradian
1525,Aru B
1526,Aru B
1527,Aru B
1528,Aru B
1529,Aru B
1530,Aru B
1531,james e mooradian
1532,Aru B
1533,Aru B
1534,james e mooradian
1535,james e mooradian
1536,james e mooradian
1537,Aru B
1538,Aru B
1539,james e mooradian
1540,james e mooradian
1541,Aru B
1542,james e mooradian
1543,Aru B
1544,Aru B
1545,james e mooradian
1546,Aru B
1547,Aru B
1548,james e mooradian
1549,Aru B
1550,Aru B
1551,Aru B
1552,Aru B
1553,Aru B
1554,james e mooradian
1555,Aru B
1556,james e mooradian
1557,james e mooradian
1558,Aru B
1559,james e mooradian
1560,Aru B
1561,Aru B
1562,james e mooradian
1563,james e mooradian
1564,Aru B
1565,Aru B
1566,Aru B
1567,Aru B
1568,Aru B
1569,james e mooradian
1570,james e mooradian
1571,Aru B
1572,Aru B
1573,james e mooradian
1574,Aru B
1575,Aru B
1576,Aru B
1577,Aru B
1578,Aru B
1579,james e mooradian
1580,james e mooradian
1581,Aru B
1582,james e mooradian
1583,james e mooradian
1584,james e mooradian
1585,james e mooradian
1586,james e mooradian
1587,Aru B
1588,Aru B
1589,james e mooradian
1590,james e mooradian
1591,james e mooradian
1592,Aru B
1593,Aru B
1594,Aru B
1595,Aru B
1596,Aru B
1597,Aru B
1598,Aru B
1599,Aru B
1600,Aru B
1601,Aru B
1602,james e mooradian
1603,james e mooradian
1604,Aru B
1605,Aru B
1606,Aru B
1607,Aru B
1608,Aru B
1609,james e mooradian
1610,james e mooradian
1611,james e mooradian
1612,Aru B
1613,Aru B
1614,james e mooradian
1615,james e mooradian
1616,Aru B
1617,Aru B
1618,Aru B
1619,james e mooradian
1620,james e mooradian
1621,Aru B
1622,Aru B
1623,james e mooradian
1624,Aru B
1625,Aru B
1626,Aru B
1627,Aru B
1628,Aru B
1629,Aru B
1630,Aru B
1631,Aru B
1632,Aru B
1633,Aru B
1634,Aru B
1635,james e mooradian
1636,james e mooradian
1637,james e mooradian
1638,Aru B
1639,james e mooradian
1640,james e mooradian
1641,james e mooradian
1642,james e mooradian
1643,Aru B
1644,Aru B
1645,james e mooradian
1646,Aru B
1647,james e mooradian
1648,Aru B
1649,Aru B
1650,Aru B
1651,james e mooradian
1652,Aru B
1653,james e mooradian
1654,Aru B
1655,james e mooradian
1656,Aru B
1657,Aru B
1658,james e mooradian
1659,james e mooradian
1660,james e mooradian
1661,Aru B
1662,Aru B
1663,Aru B
1664,Aru B
1665,Aru B
1666,Aru B
1667,james e mooradian
1668,Aru B
1669,Aru B
1670,james e mooradian
1671,Aru B
1672,Aru B
1673,james e mooradian
1674,james e mooradian
1675,Aru B
1676,james e mooradian
1677,Aru B
1678,Aru B
1679,Aru B
1680,james e mooradian
1681,Aru B
1682,Aru B
1683,james e mooradian
1684,Aru B
1685,Aru B
1686,Aru B
1687,Aru B
1688,james e mooradian
1689,james e mooradian
1690,Aru B
1691,Aru B
1692,Aru B
1693,Aru B
1694,Aru B
1695,james e mooradian
1696,james e mooradian
1697,james e mooradian
1698,Aru B
1699,james e mooradian
1700,Aru B
1701,Aru B
1702,james e mooradian
1703,Aru B
1704,Aru B
1705,Aru B
1706,james e mooradian
1707,Aru B
1708,Aru B
1709,Aru B
1710,james e mooradian
1711,Aru B
1712,james e mooradian
1713,Aru B
1714,Aru B
1715,james e mooradian
1716,Aru B
1717,james e mooradian
1718,Aru B
1719,james e mooradian
1720,Aru B
1721,Aru B
1722,james e mooradian
